<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.03	11:00:00	14203.1900	14216.9650	14180.3350	14190.1980	3530	0	1410
2024.01.03	12:00:00	14190.1720	14255.6720	14187.8420	14249.1530	3517	0	1410
2024.01.03	13:00:00	14249.1450	14249.1450	14213.3290	14237.8350	3535	0	1420
2024.01.03	14:00:00	14237.8180	14237.8180	14201.9000	14222.4790	3537	0	1420
2024.01.03	15:00:00	14222.4610	14222.4610	14201.4010	14203.1090	3532	0	1420
2024.01.03	16:00:00	14203.0870	14222.8930	14189.0430	14199.8100	3526	0	1410
2024.01.03	17:00:00	14199.7970	14208.9780	14180.2840	14181.9300	3517	0	1410
2024.01.03	18:00:00	14181.9230	14181.9230	14155.1050	14167.5910	3533	0	1410
2024.01.03	19:00:00	14167.5840	14179.4710	14145.9000	14162.2230	3543	0	1410
2024.01.03	20:00:00	14162.2060	14182.2760	14156.1650	14169.1950	3507	0	1410
2024.01.03	21:00:00	14169.1780	14212.5510	14162.7440	14183.7970	3535	0	1410
2024.01.03	22:00:00	14183.7870	14206.5200	14164.9230	14202.7840	3553	0	1410
2024.01.03	23:00:00	14202.7820	14245.2570	14188.0820	14229.9280	3547	0	1410
2024.01.04	00:00:00	14229.9160	14229.9160	14193.1310	14224.5600	3533	0	1410
2024.01.04	01:00:00	14224.5470	14224.8200	14192.7250	14192.7250	3514	0	1410
2024.01.04	02:00:00	14192.7060	14192.7060	14163.7670	14167.0480	3537	0	1410
2024.01.04	03:00:00	14167.0120	14200.9950	14166.4750	14189.2460	3527	0	1410
2024.01.04	04:00:00	14189.2440	14258.9600	14178.2540	14245.1740	3519	0	1410
2024.01.04	05:00:00	14245.1730	14293.1650	14241.8250	14280.7740	3529	0	1420
2024.01.04	06:00:00	14280.7540	14280.7540	14247.3320	14247.3320	3537	0	1420
2024.01.04	07:00:00	14247.3090	14259.0020	14222.9040	14222.9040	3522	0	1420
